z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.074,48,472356,11234174000.0,1515776000.0,1691350000.0,8019511300.0,1.0019886,111.94991,22.759697,67.398224,2.0156333
1.074,48,472819,10665156000.0,1666506500.0,1561655700.0,7432816600.0,1.5800881,107.33371,4.8576713,63.83663,2.0007167
1.074,48,473129,26686405000.0,4348456400.0,3814494500.0,18515116000.0,2.1905022,126.63422,7.100093,67.07505,3.5824165
1.074,48,473172,16235364000.0,1712014300.0,3105672200.0,11406274000.0,1.4501154,126.17696,4.0221677,68.391106,2.2032838
1.074,48,473396,6475762000.0,1046156600.0,1745943000.0,3677613600.0,1.1766676,110.56114,15.48119,62.038353,1.2733628
1.074,48,473819,14875327000.0,2103326700.0,1710681600.0,11054621000.0,1.1145772,113.11769,7.0633936,63.668285,2.6012204
1.074,48,474498,14176217000.0,1338881300.0,447551800.0,12388180000.0,0.39789534,96.939995,11.282627,57.386707,3.426967
1.074,48,474709,15116167000.0,2169842200.0,634520400.0,12309682000.0,0.6782779,99.01871,20.007069,54.64458,3.8962452
1.074,48,475200,1717456400.0,403629500.0,227394350.0,1083999700.0,0.45993626,64.17693,1.584518,38.4306,0.90460676
1.074,48,475555,12116804000.0,1647763200.0,686933800.0,9779593000.0,0.47282502,96.32143,15.395007,54.331913,3.2720377
1.074,48,475802,18048570000.0,3037527800.0,1352533100.0,13654585000.0,1.0452483,108.50822,22.154972,62.285637,3.8036122
1.074,48,475855,15016738000.0,2010351700.0,2279470000.0,10719755000.0,1.2791624,119.27057,9.456548,67.39512,2.3676736
1.074,48,475932,18819754000.0,2622433800.0,2500624100.0,13689071000.0,1.2491022,116.20285,12.767765,64.51613,3.0651028
1.074,48,476278,2241903900.0,397322370.0,231059550.0,1613521700.0,0.233033,61.455067,3.1934063,38.57846,1.2888099
1.074,48,476801,9603744000.0,1544406500.0,1623165700.0,6431853000.0,0.89366174,103.15131,22.647165,59.134064,2.1030478
1.074,48,476956,16684292000.0,2042976800.0,3804179000.0,10827747000.0,1.4594975,129.59798,4.6679497,71.51959,2.1464064
1.074,48,476998,10064827000.0,1294695700.0,830809800.0,7936021000.0,0.5269809,101.73961,17.298588,58.395905,2.610211
1.074,48,477115,11777229000.0,1699461900.0,2786104300.0,7279451000.0,1.7766101,126.47303,3.7407062,68.987885,1.5968302
1.074,48,477250,5397925400.0,780731200.0,1348123100.0,3261528000.0,0.8012041,104.06459,11.423789,61.544376,1.1135447
1.074,48,477789,13700866000.0,2267125800.0,1317307100.0,10112189000.0,0.94232124,104.85981,11.590005,60.450718,2.9427104
1.074,48,478094,12329434000.0,1759879000.0,1698004100.0,8865294000.0,0.9903978,105.87642,17.836695,62.828766,2.5303288
1.074,48,478650,20687946000.0,2532384000.0,1244507300.0,16906586000.0,0.83892035,109.45071,13.3176365,63.229282,3.9523845
1.074,48,478843,21317896000.0,2986624500.0,2627010800.0,15698713000.0,1.8797385,116.10216,8.228715,62.655174,3.426295
1.074,48,478905,15070296000.0,2211403300.0,2273038000.0,10581816000.0,1.2568847,109.151474,5.755016,61.41509,2.7281804
1.074,48,479230,13368291000.0,1837292400.0,1055796100.0,10471102000.0,0.6780469,103.55379,27.524435,60.263157,3.120925
1.074,48,479585,19231947000.0,2786036200.0,2692175000.0,13747603000.0,1.2517335,117.84581,15.03714,66.13643,3.1381366
1.074,48,480016,16919740000.0,2534003000.0,1407246100.0,12976236000.0,0.9863945,107.923,19.784206,60.736393,3.3061953
1.074,48,480080,18512976000.0,3011439400.0,1106413000.0,14391924000.0,0.68203264,104.14709,20.447721,59.499046,4.2236624
1.074,48,480396,13861036000.0,1755129100.0,1279975300.0,10820487000.0,0.7916662,110.66426,19.639475,62.310677,2.8581378
1.074,48,480445,7491575300.0,827366460.0,890110100.0,5770745000.0,0.5436903,103.86239,20.201466,58.96328,1.8555025
1.074,48,480918,10609374000.0,1965047400.0,1561238500.0,7078441500.0,1.264021,105.74847,25.440481,62.804688,2.1883152
1.074,48,481212,31711248000.0,4263371300.0,3661077800.0,23774943000.0,1.7795632,126.65517,9.050649,68.33502,4.267288
1.074,48,481335,8438011000.0,1064760960.0,1098602500.0,6268958000.0,0.632167,103.576096,12.422829,56.022636,1.893144
1.074,48,481992,9858825000.0,1296218500.0,1346799700.0,7210028000.0,0.93234044,107.41951,11.612699,59.956223,2.0534585
1.074,48,482036,8490075000.0,1207976100.0,2055394200.0,5217174500.0,1.1464589,116.918396,4.0294228,65.454254,1.3685037
1.074,48,482413,9119563000.0,1633014400.0,691244160.0,6795304400.0,0.7759597,102.760796,24.300024,61.364754,2.5795672
1.074,48,482753,14160517000.0,2225262300.0,2674169300.0,9255970000.0,2.0132453,116.8097,3.8727143,62.217472,2.2632587
1.074,48,482933,8794655000.0,1038302800.0,895027840.0,6858828300.0,0.5833554,100.87391,13.73322,56.728767,2.0653875
1.074,48,483106,13476243000.0,2041761200.0,1645872400.0,9780954000.0,1.1284163,111.949524,13.896477,63.387337,2.5571232
1.074,48,483167,10110931000.0,1669316700.0,2453718800.0,5979468300.0,1.8747241,118.35037,2.599462,61.60752,1.5748607
1.074,48,483251,5170517000.0,694678000.0,435212320.0,4037888000.0,0.3882874,92.07846,16.005293,56.25182,1.6099269
1.074,48,483351,12537179000.0,2089713000.0,996528100.0,9446996000.0,0.8935677,106.47386,24.626507,62.611134,2.9870365
1.074,48,483619,13505211000.0,1994314200.0,842780800.0,10664852000.0,0.62950605,98.88837,18.51713,56.399548,3.2958617
1.074,48,483996,5625312000.0,950741950.0,972012800.0,3697578500.0,0.7906008,102.71111,18.917223,60.644066,1.5469226
1.074,48,484121,7368676400.0,1002575800.0,1458130000.0,4901367000.0,0.83851206,111.378525,7.7939787,61.310345,1.4410377
1.074,48,484197,19177550000.0,2316398800.0,612884160.0,16245477000.0,0.41148913,102.44691,21.922777,58.628616,4.556179
1.074,48,484560,10218724000.0,1371621100.0,1179531300.0,7664681500.0,0.7248205,108.46265,21.538364,62.82435,2.265288
1.074,48,484631,6842690600.0,850458750.0,1223572700.0,4760705500.0,1.3110477,109.578606,11.211707,62.246735,1.3464328
1.074,48,485141,6654798300.0,1159750900.0,1205109200.0,4284725800.0,1.04853,105.20434,21.313557,60.413815,1.4783634
1.074,48,485222,11944319000.0,2039219200.0,2010209900.0,7888832500.0,1.4424096,107.05544,14.823936,60.334003,2.274885
1.074,48,485467,4149113300.0,681950140.0,1380293200.0,2080426500.0,0.9365521,104.64868,15.447366,61.71492,0.8916055
1.074,48,485694,8741969000.0,1127444700.0,2396921600.0,5208099300.0,1.3672522,120.786354,2.5340908,63.72793,1.2905823
1.074,48,486068,28592155000.0,3928554800.0,1342273800.0,23318020000.0,0.7559224,107.27382,17.6977,59.630413,5.5828137
1.074,48,486375,7212915000.0,1174271700.0,1476294900.0,4555612000.0,0.8413007,105.61145,18.652264,60.914497,1.7183733
1.074,48,486524,11157180000.0,1310951300.0,1487937400.0,8349838000.0,0.8000745,108.60677,5.3465953,59.22326,2.0619774
1.074,48,486655,8545940000.0,1163910500.0,743807800.0,6634223600.0,0.56567067,97.72378,18.62801,55.432446,2.3317833
1.074,48,486915,9235650000.0,1270509000.0,1069721860.0,6889229300.0,0.9352705,112.937675,17.507055,66.53572,1.8270463
1.074,48,486988,6982910500.0,830513900.0,1101677600.0,5046112000.0,0.7206306,106.02684,5.125336,57.83527,1.4529209
1.074,48,487063,10628209000.0,1421253200.0,2104770800.0,7092507600.0,1.1087855,112.29416,15.495013,64.111694,1.8469143
1.074,48,487091,7621112000.0,1196851100.0,1445793500.0,4971698000.0,0.9642797,112.60769,12.183145,64.15067,1.411836
1.074,48,487338,29151584000.0,3929060400.0,2305383700.0,22911918000.0,1.087358,115.47755,11.580833,63.3083,4.764553
1.074,48,487371,9463228000.0,1427335700.0,890719040.0,7141512700.0,0.5783035,103.24783,19.775139,60.21367,2.4096866
1.074,48,488044,13479796000.0,2090306600.0,817299840.0,10570019000.0,0.57169014,101.071526,18.598886,56.708336,3.4498549
1.074,48,488693,5285678000.0,831336200.0,1146649300.0,3302365200.0,0.7224834,98.278755,11.14801,58.445576,1.2816685
1.074,48,489131,5038954000.0,825608300.0,580407940.0,3629970200.0,0.60268044,91.47408,20.682383,54.201412,1.7326655
1.074,48,489842,10205868000.0,1359296800.0,586575040.0,8259996700.0,0.63172776,97.48758,43.737976,61.60048,2.9975233
1.074,48,490520,21892004000.0,2449137700.0,956072700.0,18483806000.0,0.5825328,107.10117,15.960887,64.331116,4.381547
1.074,48,490847,14443276000.0,2170183400.0,1217955700.0,11051444000.0,0.7083634,103.7778,19.618357,58.404633,3.1910846
1.074,48,490913,10014376000.0,1481216800.0,1773364900.0,6752651300.0,0.99221724,106.03079,5.660859,60.430145,1.9552015
1.074,48,491099,8376575000.0,1306715900.0,759789760.0,6306619400.0,0.92010796,105.44875,25.064661,63.980717,2.082668
1.074,48,491320,7205041700.0,1073826000.0,935164540.0,5190857000.0,0.736352,96.621765,15.237954,55.399994,1.849528
1.074,48,491403,24449240000.0,3095255800.0,1282393000.0,20066929000.0,0.6881557,107.77886,17.255177,59.8795,4.9613504
1.074,48,491476,11952085000.0,2019870600.0,1945372200.0,7980489000.0,1.4837533,115.129166,16.660168,66.97988,2.1184697
1.074,48,491593,5865040000.0,871523600.0,587412540.0,4403153400.0,0.48355794,97.48756,20.14732,55.405476,1.8956542
1.074,48,491947,7228520400.0,915804300.0,2236319200.0,4066020000.0,1.2169045,118.13128,2.7786698,64.23352,1.1189206
1.074,48,492226,11288148000.0,1212652300.0,969320450.0,9101696000.0,0.57701814,106.45542,16.895672,61.347504,2.42041
1.074,48,492499,5818134000.0,866425100.0,477900220.0,4471215600.0,0.70729256,108.74577,22.21896,70.41063,1.6996081
1.074,48,492689,7482258000.0,1136856600.0,1576729000.0,4761613300.0,0.9070208,106.81022,3.9887996,61.07815,1.4480996
1.074,48,492764,8275909600.0,1247038100.0,1017204000.0,6009415000.0,0.7393914,95.008896,11.4107065,52.299564,2.0089238
1.074,48,492840,20681830000.0,2516661500.0,1062083600.0,17100790000.0,0.6072821,105.875725,9.777086,58.95848,4.016279
1.074,48,493025,10387905000.0,1200388700.0,1136691600.0,8048551000.0,0.6381808,100.54499,7.3284707,59.90782,2.3441994
1.074,48,493168,12002126000.0,1545487100.0,1237500800.0,9214680000.0,0.7280107,103.71839,10.19767,58.913803,2.5668902
1.074,48,493286,7999577600.0,1164170000.0,800785200.0,6032103000.0,0.6256843,98.705444,10.063462,53.775795,2.027577
1.074,48,494211,12964549000.0,1913275800.0,1207975300.0,9840395000.0,1.0206903,112.00993,20.448658,69.5336,2.750669
1.074,48,494924,10273535000.0,1427334000.0,1105770000.0,7736827400.0,0.68186265,96.872025,5.878497,58.225964,2.3709657
1.074,48,495625,8002742300.0,938606200.0,641380740.0,6420509700.0,0.42552355,96.80115,14.637611,56.988716,2.111048
1.074,48,496005,13033197000.0,1312094700.0,714241900.0,11005161000.0,0.49016085,100.92038,25.656086,57.741398,3.497087
1.074,48,496351,8428245000.0,1367161900.0,881779260.0,6175940000.0,0.65467614,97.093864,15.223361,55.89096,2.2528026
1.074,48,496657,5441081300.0,1052107600.0,1069575600.0,3314162700.0,0.8304274,110.37029,20.533876,68.048584,1.3163414
1.074,48,497047,13623777000.0,2055850100.0,967118800.0,10597244000.0,0.7975909,100.48117,19.03244,60.761612,3.2079418
